student_star,comments
5,This class is hard  but its a two-in-one gen-ed knockout  and the content is very stimulating. Unlike most classes  you have to actually participate to pass. Sections are easy and offer extra credit every week. Very funny dude. Not much more I can say.
5,Definitely going to choose Prof. Looney's class again! Interesting class and easy A. You can bring notes to exams so you don't need to remember a lot. Lots of bonus points available and the observatory sessions are awesome!
4,I overall enjoyed this class because the assignments were straightforward and interesting. I just didn't enjoy the video project because I felt like no one in my group cared enough to help.
5,Yes  it's possible to get an A but you'll definitely have to work for it. The content is pretty interesting  but you have tog get super organized in this class. You'll have multiple things due every week and a ton lectures to go over. If possible  I'd avoid this class as an 8 week course. You'll definitely always have somethingto do in this class.
5,Professor Looney has great knowledge in Astronomy  while he can explain them in a super easy way in an elementary class. He taught this class with great passion and great illustration. This class is definitely fun to take. If you are interested in further knowledge that this class won't cover  don't hesitate to ask him. Great teacher.
5,Looney is a super funny guy and this class was really interesting. It wasn't a complete blow off  but it wasn't too bad. Just do all the homework/observation sessions and study a bit the night before exams and you should pull an A. I would definitely recommend him for a science gen ed. There was no text book and no final.
4.5,He is one of the most enthusiastic and off the walls professors you'll ever meet. His grading is very fair. The exams aren't bad considering you can use a notes sheet. There's lots of Iclickers so you have to show up to class. There's no book used. Take this class its fun and interesting!
5,"""Sexy Boy"". Killer Skies was one of the best classes I've taken. Looney kept me excited for class and did presentations effectively and with great humor. Highly recommend him in general. Online quizzes were tough but given multiple chances. Exams are somewhat hard so study. Never a dry moment  great guy  great topics. You're gonna have fun. Ciao"
5,Excellent professor. Hilarious  fun  and good.
4,Loved his Killer Skies class! He's very funny and allows you to bring in a sheet of notes for each test and even the final! Theres no textbook  but you have to use his ppt slides alot for the HW and cheat sheets. The HW is quite hard tho  even with the ppt slides given to you. But you get unlimited number of tries  and the highest score is taken
4,A kind  knowledgeable  phenomenal teacher. I would recommend any of his classes. He is hilarious  engaging  and intelligent. This class was so far from my major  and yet I enjoyed class everyday. Study  its astronomy. But Looney is fantastic.
5,He is absolutely AMAZING! A complete riot and wonderful professor  Class is NEVER boring and something new is taught daily  Online homework is a breeze and tests aren't horrible  Studying is necessary for them though.
4.5,He is AMAZING! The funnest class I have had all semester. He's knows his material and is always willing to help.
5,Best professor I've had so far! He is informative  clear and funny. Makes you actually wanna go to class... Gotta do homework regularly and study for the test--they aren't bad if you do.
4.5,Great professor and great class! I recommend taking this course  it was a physical science and quantitive reasoning II course.
5,Dr. Wager is a great professor. Her expectations were clear and she really wants to help you succeed. She was always entertaining and knew what she was talking about. I took her hybrid course which i would definitely recommend.
5,I LOVE Prof. Wager. She's hilarious and dedicated. I took this as the hybrid block and I loved it. It is fast paced  but not a ton of work. The final is only a 5 page paper  and you can revise your essays as many times as you want. She really wants you to do well and helps you as much as you can. If I could take every class with her  I would.
5,Taken as Hybrid course. It was good taking it with this teacher. Especially in a hybrid course she only assigns stuff that is needed. Be aware if you take this in a hybrid class there will be something due EVERY time before the next class. Course work is easy if you are committed to it and turn it in on time. PEER reviews are not accepted late.
4,Good teacher  I took this as a second block class on accident. Lots of reading in the class  not super necessary for the lectures. But a fun teacher who's excited to share English with students  normal amount of homework assignments and a small 5 page paper due at finals. 8/10
2,Overall she is a fine professor but there are a lot of little things like not very clear assignments gradings are sometimes weird. Didn't do one peer review on time don't expect to get an A.
4,Wager is a great professor! She makes the class lively and is absolutely hilarious. I took the hybrid-block course. As long as you do the assignments on time it's an easy A. The only complaints I have are: a lot of the examples/ content is politically influenced (liberal) and she doesn't always describe assignments or what is expected of you well.
4.5,Jans does an excellent job of teaching the basics and technical aspects of cinema while putting a feminist/progressive spin on things. Great professor who cares that her class learn new perspectives from her lectures. She is a solid grader and gave great feedback whenever I asked for it. My writing skills have improved from taking this course!
5,Really enjoyed her class. Took it as a hybrid block class so it was very fast paced and all the assignments were submitted online. She was very clear about how she wanted you to write and was very willing to help. I would take her again  I was very impressed with her teaching style.
